종가,시가,고가,저가,거래량,변동
43450.0,43400.0,43700.0,43000.0,9913497.0,주가 하락 또는 변동 없음
43900.0,44050.0,44200.0,43700.0,12464135.0,주가 상승
44200.0,43600.0,44350.0,43450.0,11683682.0,주가 상승
44800.0,44300.0,44850.0,44050.0,8792182.0,주가 상승
44850.0,44800.0,45000.0,44550.0,6664872.0,주가 상승
44600.0,44800.0,45050.0,44300.0,8607439.0,주가 하락 또는 변동 없음
43750.0,44200.0,44400.0,43400.0,16906541.0,주가 하락 또는 변동 없음
44000.0,43750.0,44150.0,43300.0,9322873.0,주가 상승
43900.0,43750.0,44050.0,43400.0,11890424.0,주가 하락 또는 변동 없음
44350.0,43750.0,44500.0,43650.0,7994928.0,주가 상승
45350.0,45450.0,45450.0,45000.0,10417690.0,주가 상승
45500.0,44850.0,45500.0,44850.0,7147785.0,주가 상승
45700.0,45750.0,45800.0,45200.0,9454913.0,주가 상승
45500.0,45200.0,45800.0,45200.0,6085066.0,주가 하락 또는 변동 없음
45600.0,45200.0,45800.0,45200.0,7076774.0,주가 상승
45700.0,45800.0,46000.0,45600.0,9226097.0,주가 상승
46500.0,46000.0,46600.0,45750.0,12603534.0,주가 상승
47000.0,47000.0,47000.0,46700.0,12949231.0,주가 상승
46600.0,47350.0,47400.0,46250.0,11383522.0,주가 하락 또는 변동 없음
46250.0,46200.0,46900.0,45850.0,8463073.0,주가 하락 또는 변동 없음
45400.0,45750.0,46350.0,45200.0,9669368.0,주가 하락 또는 변동 없음
46000.0,45250.0,46200.0,45250.0,6365573.0,주가 상승
45650.0,45950.0,45950.0,45250.0,7235395.0,주가 하락 또는 변동 없음
44400.0,44750.0,44800.0,44350.0,7823843.0,주가 하락 또는 변동 없음
45100.0,44850.0,45450.0,44700.0,7646421.0,주가 상승
45550.0,45550.0,46150.0,45500.0,9253930.0,주가 상승
46200.0,46350.0,46550.0,46150.0,10989751.0,주가 상승
46300.0,46350.0,46400.0,45800.0,5245804.0,주가 상승
46450.0,45950.0,46650.0,45750.0,4717226.0,주가 상승
46850.0,46450.0,46850.0,46300.0,7407824.0,주가 상승
46050.0,46150.0,46350.0,45950.0,5216602.0,주가 하락 또는 변동 없음
46100.0,46450.0,46450.0,45650.0,5143554.0,주가 상승
46800.0,46650.0,46950.0,46600.0,8819393.0,주가 상승
47200.0,46800.0,47300.0,46600.0,9009109.0,주가 상승
47300.0,47350.0,47550.0,47050.0,9061381.0,주가 상승
46400.0,47100.0,47150.0,46250.0,8756522.0,주가 하락 또는 변동 없음
47200.0,47150.0,47200.0,46600.0,8408838.0,주가 상승
47150.0,46650.0,47150.0,46550.0,7873886.0,주가 하락 또는 변동 없음
46100.0,46800.0,47050.0,46000.0,6856846.0,주가 하락 또는 변동 없음
46550.0,46300.0,46850.0,46300.0,5551014.0,주가 상승
45350.0,46200.0,46600.0,45000.0,12872916.0,주가 하락 또는 변동 없음
45200.0,44900.0,45500.0,44850.0,7811181.0,주가 하락 또는 변동 없음
44950.0,44550.0,45500.0,44300.0,12151374.0,주가 하락 또는 변동 없음
43950.0,44350.0,44600.0,43600.0,14214086.0,주가 하락 또는 변동 없음
43500.0,42500.0,43800.0,42500.0,15083824.0,주가 하락 또는 변동 없음
43200.0,43600.0,43900.0,43100.0,10002533.0,주가 하락 또는 변동 없음
42650.0,43250.0,43500.0,42650.0,16926881.0,주가 하락 또는 변동 없음
43150.0,43250.0,43350.0,43050.0,9685147.0,주가 상승
43700.0,44000.0,44000.0,43550.0,8466169.0,주가 상승
43000.0,43500.0,43500.0,42950.0,7276979.0,주가 하락 또는 변동 없음
43700.0,43900.0,44250.0,43500.0,8750135.0,주가 상승
43900.0,43800.0,43900.0,43300.0,9528115.0,주가 상승
43600.0,44350.0,44350.0,43500.0,6014218.0,주가 하락 또는 변동 없음
44450.0,43950.0,44600.0,43550.0,8434205.0,주가 상승
44500.0,44350.0,44800.0,44150.0,6571717.0,주가 상승
44050.0,44500.0,44700.0,43850.0,8061177.0,주가 하락 또는 변동 없음
43950.0,43800.0,44200.0,43650.0,5017381.0,주가 하락 또는 변동 없음
43600.0,43050.0,43800.0,42950.0,7954949.0,주가 하락 또는 변동 없음
44050.0,43650.0,44200.0,43600.0,16883932.0,주가 상승
44150.0,44100.0,44400.0,43750.0,5758333.0,주가 상승
43400.0,44200.0,44200.0,43050.0,10768862.0,주가 하락 또는 변동 없음
44000.0,43750.0,44300.0,43750.0,9899073.0,주가 상승
43800.0,44850.0,44850.0,43650.0,7185537.0,주가 하락 또는 변동 없음
43250.0,43550.0,43650.0,43100.0,9774941.0,주가 하락 또는 변동 없음
44100.0,43250.0,44100.0,43150.0,12441837.0,주가 상승
45700.0,44800.0,46100.0,44450.0,18297430.0,주가 상승
46300.0,46500.0,46500.0,45850.0,9896562.0,주가 상승
46900.0,46450.0,47000.0,46300.0,9434157.0,주가 상승
47000.0,47100.0,47200.0,46550.0,9231792.0,주가 상승
47150.0,47300.0,47400.0,46800.0,16141619.0,주가 상승
47100.0,47000.0,47100.0,46400.0,15550926.0,주가 하락 또는 변동 없음
46900.0,47000.0,47100.0,46800.0,7006280.0,주가 하락 또는 변동 없음
47700.0,46900.0,47700.0,46800.0,10413027.0,주가 상승
49150.0,48050.0,49200.0,47850.0,16461413.0,주가 상승
49200.0,49400.0,49600.0,49100.0,15460210.0,주가 상승
49300.0,49250.0,49300.0,49000.0,7568553.0,주가 상승
49500.0,49050.0,49650.0,48850.0,7871955.0,주가 상승
48900.0,49200.0,49350.0,48800.0,9187141.0,주가 하락 또는 변동 없음
49200.0,49000.0,49250.0,48900.0,8494756.0,주가 상승
48400.0,48000.0,48700.0,48000.0,8048041.0,주가 하락 또는 변동 없음
49050.0,48050.0,49250.0,47900.0,9497119.0,주가 상승
48850.0,48900.0,49100.0,48650.0,6206035.0,주가 하락 또는 변동 없음
47600.0,48350.0,48400.0,47600.0,8382463.0,주가 하락 또는 변동 없음
48000.0,47400.0,48650.0,47350.0,9331695.0,주가 상승
47750.0,48350.0,48700.0,47650.0,7047273.0,주가 하락 또는 변동 없음
48900.0,47900.0,49000.0,47600.0,14239367.0,주가 상승
48550.0,48200.0,49200.0,48000.0,18639855.0,주가 하락 또는 변동 없음
49150.0,49000.0,49450.0,48800.0,7783275.0,주가 상승
50000.0,50000.0,50300.0,49850.0,11130635.0,주가 상승
50100.0,49900.0,50200.0,49900.0,6058105.0,주가 상승
50700.0,50700.0,50900.0,50400.0,9136282.0,주가 상승
50500.0,50500.0,50600.0,50100.0,6701380.0,주가 하락 또는 변동 없음
49900.0,50300.0,50900.0,49650.0,8483106.0,주가 하락 또는 변동 없음
50300.0,49900.0,50400.0,49800.0,4406531.0,주가 상승
51200.0,50800.0,51500.0,50700.0,10898729.0,주가 상승
51200.0,51300.0,51500.0,50800.0,8663880.0,주가 하락 또는 변동 없음
50700.0,52500.0,52500.0,50500.0,21185785.0,주가 하락 또는 변동 없음
50900.0,50800.0,51200.0,50500.0,7879897.0,주가 상승
51300.0,50700.0,51500.0,50700.0,6431522.0,주가 상승
51100.0,51400.0,51700.0,50800.0,7581629.0,주가 하락 또는 변동 없음
